Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,703996316,1695.0,7004688.0,8.0,674960054.0,4304.0,22031574.0,35335.0,90316.0,898.6,,,,All,,,,,,
USA,111630927,1137.0,1217093.0,8.0,109416471.0,2945.0,997363.0,1415.0,333420.0,3635,1186765074.0,3544643.0,334805269.0,North America,3.0,275.0,0.0,3,0.02,2979
India,45030467,,533499.0,,,,,,32013.0,379,935879495.0,665334.0,1406631776.0,Asia,31.0,2637.0,2.0,,,0.7
France,40138560,,167642.0,,39970918.0,,0.0,,612013.0,2556,271490188.0,4139547.0,65584518.0,Europe,2.0,391.0,0.0,,,
Germany,38823847,,182736.0,,38240600.0,,400511.0,,462830.0,2178,122332384.0,1458359.0,83883596.0,Europe,2.0,459.0,1.0,,,4775
Brazil,38452504,,709963.0,,36249161.0,,1493380.0,,178555.0,3297,63776166.0,296146.0,215353593.0,South America,6.0,303.0,3.0,,,6935
S. Korea,34571873,,35934.0,,34535939.0,,0.0,,673523.0,700,15804065.0,307892.0,51329899.0,Asia,1.0,1428.0,3.0,,,
Japan,33803572,,74694.0,,,,,,269169.0,595,100414883.0,799578.0,125584838.0,Asia,4.0,1681.0,1.0,,,95582
Italy,26719511,,196348.0,,26351971.0,,171192.0,45.0,443383.0,3258,280517410.0,4654904.0,60262770.0,Europe,2.0,307.0,0.0,,,2841
UK,24902971,,232112.0,,24670859.0,,0.0,,363558.0,3389,522526476.0,7628357.0,68497907.0,Europe,3.0,295.0,0.0,,,
Russia,24009604,,402399.0,,23424670.0,,182535.0,,164668.0,2760,273400000.0,1875095.0,145805947.0,Europe,6.0,362.0,1.0,,,1252
Turkey,17232066,,102174.0,,,,,,201399.0,1194,162743369.0,1902052.0,85561976.0,Asia,5.0,837.0,1.0,,,4024
Spain,13914811,,121760.0,,13762417.0,,30634.0,231.0,297840.0,2606,471036328.0,10082298.0,46719142.0,Europe,3.0,384.0,0.0,,,656
Australia,11829858,537.0,24292.0,,11796114.0,,9452.0,12.0,453794.0,932,81916639.0,3142326.0,26068792.0,Australia/Oceania,2.0,1073.0,0.0,21,,363
Vietnam,11625195,,43206.0,,10640971.0,,941018.0,,117481.0,437,85826548.0,867342.0,98953541.0,Asia,9.0,2290.0,1.0,,,9510
